z,mu,sigma_mu
0.0295,35.6938,0.12735
0.03416,35.925650000000005,0.1563
0.04067,36.1428,0.1127
0.07515,37.238200000000006,0.1248
0.05581,36.58215,0.12285
0.02529,35.1396,0.1405
0.03501,36.0081,0.12485
0.02846,35.3551,0.13405
0.0328,35.99085,0.12525
0.03378,35.73795,0.1403
0.04597,36.6322,0.1025
0.04341,36.28145000000001,0.1209
0.05684,37.08355,0.1203
0.02024,34.6368,0.12735
0.03191,35.94205,0.12775
0.0415,36.3467,0.1259
0.02639,35.28305,0.1399
0.02651,35.41745,0.1248
0.02689,35.22545,0.126
0.02349,34.973600000000005,0.1338
0.05067,36.922250000000005,0.158
0.04093,36.080200000000005,0.1297
0.06877,37.518150000000006,0.11055
0.01754,34.3341,0.1341
0.02557,35.2107,0.1496
0.02189,34.88085,0.1381
0.03155,35.477900000000005,0.14115
0.06845,37.66035,0.1248
0.02249,34.91975,0.1391
0.04949,36.67405,0.12545
0.03161,35.723600000000005,0.12625
0.03434,35.962950000000006,0.1249
0.04486,36.5555,0.14795
0.01531,34.09935,0.1526
0.03048,35.60295,0.1342
0.03837,36.2521,0.16555
0.03682,36.12055,0.12655
0.0221,35.1295,0.13695
0.01402,33.99805,0.16195
0.0589,37.142,0.11395
0.05895,37.1207,0.10045
0.06888,37.5278,0.15105
0.0204,35.0567,0.156
0.02894,35.376850000000005,0.1316
0.02384,35.0513,0.1335
0.01451,34.24705,0.16765
0.03292,35.80200000000001,0.1185
0.06455,37.13945,0.1136
0.01663,34.36385,0.15025
0.05359,36.8187,0.1439
0.03163,35.56965,0.11945
0.02751,35.3478,0.1291
0.02559,34.9014,0.1259
0.02401,35.13645,0.12635
0.03713,35.91045,0.1177
0.03408,35.749750000000006,0.12455
0.02454,34.9501,0.1278
0.01697,34.26335,0.1531
0.01629,34.52685,0.15115
0.03184,35.69225,0.12125
0.037,36.09885,0.12725
0.02932,35.214800000000004,0.1457
0.0174,34.61595,0.1485
0.03578,35.94205,0.1761
0.02845,35.397850000000005,0.1364
0.05035,36.640299999999996,0.16335
0.04269,36.28325,0.117
0.03212,35.58615,0.1431
0.02752,35.4169,0.14255
0.03049,35.63725,0.1419
0.01724,34.2794,0.1556
0.07063,37.40925,0.1229
0.05344,36.97205,0.1398
0.02878,35.45835,0.12155
0.03518,35.772450000000006,0.15235
0.03348,35.830200000000005,0.15235
0.04651,36.531850000000006,0.11625
0.06119,37.27460000000001,0.11905
0.04714,36.51275,0.12315
0.0212,34.7966,0.1437
0.04028,36.1706,0.11335
0.03863,36.21145,0.1275
0.03314,35.74225,0.12215
0.02414,35.03035,0.1291
0.02837,35.4544,0.12155
0.01043,33.2748,0.20035
0.02038,34.77955,0.14185
0.0471,36.3342,0.14465
0.03984,36.0574,0.1146
0.0122,33.8066,0.1737
0.01271,33.6311,0.1749
0.01763,34.2854,0.1562
0.02171,34.852000000000004,0.13615
0.01572,34.21115,0.1939
0.01972,34.626450000000006,0.15785
0.01678,34.27685,0.15925
0.01226,33.8174,0.17765
0.05322,36.92915,0.12805
0.03055,35.23935,0.45085
0.03001,35.523300000000006,0.12025
0.01506,33.969300000000004,0.15445
0.0153,34.0205,0.1456
0.04713,36.5179,0.1151
0.03411,35.865,0.1148
0.0152,33.885450000000006,0.1635
0.01504,34.04915,0.1491
0.02763,35.58455,0.1179
0.03359,35.94355,0.1061
0.01447,33.9908,0.16555
0.02547,35.21575,0.1242
0.01082,33.3586,0.18445
0.01741,34.45,0.1498
0.02031,34.65565,0.1353
0.04819,36.784400000000005,0.12175
0.02223,34.7418,0.13205
0.02811,35.6965,0.12485
0.05458,36.8021,0.1018
0.05721,36.95445,0.1094
0.02091,34.71595,0.1368
0.01454,34.34535,0.1656
0.0431,36.326750000000004,0.10685
0.03273,35.734300000000005,0.1205
0.03399,35.701350000000005,0.11105
0.01382,33.82835,0.15385
0.05092,36.77035,0.1224
0.01752,34.4058,0.1465
0.02482,34.99995,0.13485
0.0288,35.44165,0.13605
0.01568,34.108900000000006,0.1525
0.02197,34.71745,0.1436
0.03426,35.8201,0.12025
0.01698,34.0197,0.1558
0.02752,35.58595,0.1341
0.03438,35.9571,0.12105
0.01318,33.90605,0.17285
0.01726,34.2656,0.1511
0.01209,33.329100000000004,0.1914
0.05418,36.671800000000005,0.11385
0.0197,34.80455,0.1578
0.01662,33.9812,0.14705
0.02398,35.1739,0.13525
0.03144,35.66895,0.12075
0.01291,33.5403,0.1716
0.03827,36.34715,0.1201
0.01532,34.2986,0.16405
0.02643,35.26835,0.1425
0.0202,34.37285,0.15165
0.0373,36.1696,0.11505
0.02348,35.01265,0.13895
0.01635,34.2331,0.1518
0.02275,34.8848,0.13625
0.23027,40.3638,0.14645
0.38164,41.87675,0.14085
0.2534,40.44145,0.11245
0.15269,39.28715,0.11585
0.43673,42.19545,0.14185
0.10242,38.50365,0.1077
0.37164,41.477450000000005,0.10645
0.46664,42.1322,0.11645
0.19602,39.85135,0.109
0.31156,41.0917,0.10825
0.0322,35.822,0.1289
0.10989,38.64245,0.12085
0.22562,40.073,0.12425
0.26051,40.577650000000006,0.12265
0.22556,40.212900000000005,0.1228
0.44758,41.94905,0.1524
0.44007,42.20455,0.16925
0.33742,41.090450000000004,0.14605
0.52851,42.1922,0.14315
0.57613,42.5859,0.14515
0.38775,41.7391,0.15885
0.36001,41.277550000000005,0.1335
0.34701,41.1412,0.14045
0.43927,41.91615,0.132
0.34923,41.2075,0.11575
0.43015,41.894400000000005,0.12545
0.50818,42.1293,0.14135
0.28845,40.8326,0.1256
0.17281,39.84025,0.1308
0.31774,41.1887,0.1521
0.27509,40.857150000000004,0.1382
0.10293,38.25405000000001,0.12325
0.20584,39.9039,0.15765
0.2646,40.5949,0.1389
0.23466,40.2144,0.19515
0.21434,40.084050000000005,0.17345
0.42784,42.38515,0.17065
0.40214,41.6036,0.149
0.32218,40.89775,0.14025
0.45173,42.07345,0.12465
0.16139,39.42365,0.12015
0.35161,41.40965,0.1158
0.249,40.37715,0.11585
0.08223,37.879450000000006,0.1223
0.10588,38.4667,0.10015
0.33293,41.400800000000004,0.14375
0.10227,38.4031,0.1106
0.29282,40.839600000000004,0.1351
0.13269,38.88775,0.0994
0.27088,40.574250000000006,0.12
0.10044,38.4307,0.10935
0.35363,41.4958,0.14555
0.42353,41.949,0.2655
0.30012,41.06085,0.11935
0.14761,39.23745,0.11365
0.22853,40.315250000000006,0.12895
0.1388,39.17205,0.1072
0.14343,39.230050000000006,0.10815
0.09201,38.3047,0.1139
0.1568,39.4739,0.12545
0.23851,40.545550000000006,0.2471
0.14949,39.50155,0.16675
0.50718,42.3437,0.1404
0.25249,40.557550000000006,0.11325
0.28397,40.6663,0.1146
0.2368,40.3724,0.1241
0.34092,41.23785,0.1485
0.26388,40.414,0.1418
0.34872,41.4662,0.13315
0.32095,41.06485,0.1245
0.13523,39.15745,0.1216
0.30666,41.23165,0.1627
0.23362,40.56045,0.1599
0.30078,41.26835,0.1704
0.36783,41.3404,0.12345
0.1694,39.6054,0.1144
0.07976,37.687,0.10315
0.1806,39.7364,0.1142
0.18071,39.69675,0.16425
0.23086,40.38315,0.15375
0.04582,36.64255,0.1243
0.22146,40.1353,0.1197
0.20073,39.8774,0.21145
0.0755,37.728,0.11965
0.02627,35.33385,0.1362
0.19141,39.405,0.15515
0.1777,39.705200000000005,0.11035
0.18542,39.887100000000004,0.1169
0.34931,41.37925,0.13805
0.27131,40.65945,0.10785
0.29212,40.52535,0.1226
0.37051,41.144400000000005,0.11375
0.09641,38.1715,0.14795
0.18058,39.62520000000001,0.1117
0.27446,40.7234,0.1525
0.2451,40.608900000000006,0.1441
0.36135,41.2582,0.2036
0.23152,40.27185,0.1499
0.14648,39.26105,0.11095
0.15948,39.53505,0.1775
0.41929,41.8083,0.14905
0.31894,41.015950000000004,0.15665
0.51941,42.325950000000006,0.19605
0.15069,39.2875,0.11
0.30249,40.963499999999996,0.15825
0.21073,40.08865,0.1623
0.23943,40.06895,0.1478
0.3318,41.1081,0.12005
0.20072,40.07485,0.1607
0.36082,41.512100000000004,0.14215
0.24275,40.6908,0.1213
0.22146,40.17175,0.14915
0.12068,38.7188,0.1916
0.3416,41.236050000000006,0.16925
0.25051,40.3768,0.13165
0.38054,41.5035,0.1307
0.31079,41.16735,0.13845
0.1994,39.7468,0.14145
0.24001,40.4434,0.1643
0.50275,42.245850000000004,0.20855
0.37013,41.45035,0.1358
0.27001,40.71745,0.13725
0.26312,40.741,0.1313
0.26801,40.57475,0.16715
0.30801,41.30175,0.1182
0.25001,40.7268,0.1625
0.28051,40.7287,0.11055
0.3148,41.2541,0.12485
0.3284,41.4829,0.16575
0.32944,41.3369,0.11895
0.25848,40.489050000000006,0.14085
0.22448,40.018100000000004,0.15385
0.21079,40.2708,0.1231
0.38734,41.644400000000005,0.18525
0.30642,41.0375,0.1493
0.36491,41.5565,0.1423
0.2488,40.4827,0.1596
0.2988,40.74335000000001,0.16425
0.12365,38.9241,0.1083
0.33159,41.1189,0.1401
0.38246,41.53595,0.1824
0.24074,40.48115,0.11795
0.17144,39.637299999999996,0.17315
0.2088,40.209,0.16115
0.2896,41.065,0.1649
0.24599,40.4966,0.1219
0.13659,39.111450000000005,0.12305
0.15062,39.2057,0.11605
